,0,1,2
0,72.0,72.0,0.0
1,73.0,72.0,1.0
2,73.0,72.0,1.0
3,71.0,72.0,-1.0
4,72.0,72.0,0.0
5,71.0,72.0,-1.0
6,72.0,72.0,0.0
7,71.0,72.0,-1.0
8,70.0,72.0,-2.0
9,71.0,72.0,-1.0
10,73.0,73.0,0.0
11,72.0,73.0,-1.0
12,73.0,73.0,0.0
13,73.0,73.0,0.0
14,74.0,73.0,1.0
15,72.0,73.0,-1.0
16,73.0,73.0,0.0
17,73.0,73.0,0.0
18,73.0,73.0,0.0
19,73.0,73.0,0.0
20,72.0,72.0,0.0
21,72.0,72.0,0.0
22,71.0,72.0,-1.0
23,71.0,72.0,-1.0
24,73.0,72.0,1.0
25,72.0,72.0,0.0
26,71.0,72.0,-1.0
27,71.0,72.0,-1.0
28,72.0,72.0,0.0
29,71.0,72.0,-1.0
30,71.0,70.0,1.0
31,71.0,70.0,1.0
32,70.0,70.0,0.0
33,71.0,70.0,1.0
34,69.0,70.0,-1.0
35,71.0,70.0,1.0
36,69.0,70.0,-1.0
37,69.0,70.0,-1.0
38,69.0,70.0,-1.0
39,70.0,70.0,0.0
40,71.0,70.0,1.0
41,69.0,70.0,-1.0
42,69.0,70.0,-1.0
43,69.0,70.0,-1.0
44,70.0,70.0,0.0
45,69.0,70.0,-1.0
46,69.0,70.0,-1.0
47,69.0,70.0,-1.0
48,70.0,70.0,0.0
49,68.0,70.0,-2.0
50,65.0,64.0,1.0
51,62.0,64.0,-2.0
52,64.0,64.0,0.0
53,64.0,64.0,0.0
54,66.0,64.0,2.0
55,65.0,64.0,1.0
56,66.0,64.0,2.0
57,64.0,64.0,0.0
58,64.0,64.0,0.0
59,63.0,64.0,-1.0
60,62.0,63.0,-1.0
61,62.0,63.0,-1.0
62,62.0,63.0,-1.0
63,61.0,63.0,-2.0
64,63.0,63.0,0.0
65,62.0,63.0,-1.0
66,63.0,63.0,0.0
67,63.0,63.0,0.0
68,63.0,63.0,0.0
69,62.0,63.0,-1.0
70,63.0,64.0,-1.0
71,64.0,64.0,0.0
72,63.0,64.0,-1.0
73,64.0,64.0,0.0
74,63.0,64.0,-1.0
75,62.0,64.0,-2.0
76,64.0,64.0,0.0
77,64.0,64.0,0.0
78,62.0,64.0,-2.0
79,63.0,64.0,-1.0
80,63.0,62.0,1.0
81,63.0,62.0,1.0
82,63.0,62.0,1.0
83,62.0,62.0,0.0
84,64.0,62.0,2.0
85,63.0,62.0,1.0
86,63.0,62.0,1.0
87,63.0,62.0,1.0
88,64.0,62.0,2.0
89,64.0,62.0,2.0
90,63.0,62.0,1.0
91,62.0,62.0,0.0
92,62.0,62.0,0.0
93,62.0,62.0,0.0
94,62.0,62.0,0.0
95,62.0,62.0,0.0
96,61.0,62.0,-1.0
97,63.0,62.0,1.0
98,63.0,62.0,1.0
99,64.0,62.0,2.0
100,47.0,43.0,4.0
101,46.0,43.0,3.0
102,47.0,43.0,4.0
103,44.0,43.0,1.0
104,41.0,43.0,-2.0
105,42.0,43.0,-1.0
106,46.0,43.0,3.0
107,43.0,43.0,0.0
108,40.0,43.0,-3.0
109,45.0,43.0,2.0
110,46.0,46.0,0.0
111,45.0,46.0,-1.0
112,43.0,46.0,-3.0
113,45.0,46.0,-1.0
114,44.0,46.0,-2.0
115,43.0,46.0,-3.0
116,43.0,46.0,-3.0
117,43.0,46.0,-3.0
118,43.0,46.0,-3.0
119,38.0,46.0,-8.0
120,34.0,34.0,0.0
121,34.0,34.0,0.0
122,32.0,34.0,-2.0
123,33.0,34.0,-1.0
124,38.0,34.0,4.0
125,36.0,34.0,2.0
126,36.0,34.0,2.0
127,33.0,34.0,-1.0
128,33.0,34.0,-1.0
129,38.0,34.0,4.0
130,29.0,31.0,-2.0
131,32.0,31.0,1.0
132,31.0,31.0,0.0
133,32.0,31.0,1.0
134,34.0,31.0,3.0
135,32.0,31.0,1.0
136,31.0,31.0,0.0
137,29.0,31.0,-2.0
138,31.0,31.0,0.0
139,32.0,31.0,1.0
140,71.0,72.0,-1.0
141,69.0,72.0,-3.0
142,70.0,72.0,-2.0
143,70.0,72.0,-2.0
144,69.0,72.0,-3.0
145,71.0,72.0,-1.0
146,70.0,72.0,-2.0
147,69.0,72.0,-3.0
148,69.0,72.0,-3.0
149,71.0,72.0,-1.0
150,66.0,66.0,0.0
151,67.0,66.0,1.0
152,64.0,66.0,-2.0
153,63.0,66.0,-3.0
154,67.0,66.0,1.0
155,66.0,66.0,0.0
156,66.0,66.0,0.0
157,65.0,66.0,-1.0
158,66.0,66.0,0.0
159,65.0,66.0,-1.0
160,61.0,62.0,-1.0
161,62.0,62.0,0.0
162,61.0,62.0,-1.0
163,60.0,62.0,-2.0
164,61.0,62.0,-1.0
165,61.0,62.0,-1.0
166,61.0,62.0,-1.0
167,64.0,62.0,2.0
168,60.0,62.0,-2.0
169,61.0,62.0,-1.0
170,62.0,62.0,0.0
171,61.0,62.0,-1.0
172,60.0,62.0,-2.0
173,57.0,62.0,-5.0
174,61.0,62.0,-1.0
175,60.0,62.0,-2.0
176,58.0,62.0,-4.0
177,60.0,62.0,-2.0
178,60.0,62.0,-2.0
179,61.0,62.0,-1.0
180,59.0,62.0,-3.0
181,57.0,62.0,-5.0
182,65.0,62.0,3.0
183,62.0,62.0,0.0
184,60.0,62.0,-2.0
185,65.0,62.0,3.0
186,62.0,62.0,0.0
187,61.0,62.0,-1.0
188,56.0,62.0,-6.0
189,60.0,62.0,-2.0
190,58.0,58.0,0.0
191,58.0,58.0,0.0
192,57.0,58.0,-1.0
193,56.0,58.0,-2.0
194,56.0,58.0,-2.0
195,57.0,58.0,-1.0
196,59.0,58.0,1.0
197,58.0,58.0,0.0
198,58.0,58.0,0.0
199,57.0,58.0,-1.0
200,74.0,74.0,0.0
201,72.0,74.0,-2.0
202,73.0,74.0,-1.0
203,73.0,74.0,-1.0
204,75.0,74.0,1.0
205,74.0,74.0,0.0
206,72.0,74.0,-2.0
207,74.0,74.0,0.0
208,72.0,74.0,-2.0
209,72.0,74.0,-2.0
210,71.0,72.0,-1.0
211,72.0,72.0,0.0
212,71.0,72.0,-1.0
213,71.0,72.0,-1.0
214,71.0,72.0,-1.0
215,72.0,72.0,0.0
216,72.0,72.0,0.0
217,72.0,72.0,0.0
218,71.0,72.0,-1.0
219,70.0,72.0,-2.0
220,72.0,72.0,0.0
221,73.0,72.0,1.0
222,73.0,72.0,1.0
223,73.0,72.0,1.0
224,71.0,72.0,-1.0
225,71.0,72.0,-1.0
226,73.0,72.0,1.0
227,72.0,72.0,0.0
228,74.0,72.0,2.0
229,72.0,72.0,0.0
230,62.0,62.0,0.0
231,62.0,62.0,0.0
232,61.0,62.0,-1.0
233,61.0,62.0,-1.0
234,60.0,62.0,-2.0
235,60.0,62.0,-2.0
236,61.0,62.0,-1.0
237,62.0,62.0,0.0
238,60.0,62.0,-2.0
239,60.0,62.0,-2.0
240,60.0,59.0,1.0
241,54.0,59.0,-5.0
242,60.0,59.0,1.0
243,61.0,59.0,2.0
244,57.0,59.0,-2.0
245,59.0,59.0,0.0
246,58.0,59.0,-1.0
247,58.0,59.0,-1.0
248,59.0,59.0,0.0
249,57.0,59.0,-2.0
250,54.0,53.0,1.0
251,53.0,53.0,0.0
252,53.0,53.0,0.0
253,55.0,53.0,2.0
254,56.0,53.0,3.0
255,55.0,53.0,2.0
256,54.0,53.0,1.0
257,52.0,53.0,-1.0
258,54.0,53.0,1.0
259,56.0,53.0,3.0
260,70.0,70.0,0.0
261,70.0,70.0,0.0
262,70.0,70.0,0.0
263,69.0,70.0,-1.0
264,72.0,70.0,2.0
265,71.0,70.0,1.0
266,71.0,70.0,1.0
267,70.0,70.0,0.0
268,71.0,70.0,1.0
269,70.0,70.0,0.0
270,60.0,60.0,0.0
271,61.0,60.0,1.0
272,59.0,60.0,-1.0
273,59.0,60.0,-1.0
274,61.0,60.0,1.0
275,61.0,60.0,1.0
276,60.0,60.0,0.0
277,59.0,60.0,-1.0
278,60.0,60.0,0.0
279,61.0,60.0,1.0
280,60.0,61.0,-1.0
281,60.0,61.0,-1.0
282,59.0,61.0,-2.0
283,57.0,61.0,-4.0
284,59.0,61.0,-2.0
285,61.0,61.0,0.0
286,63.0,61.0,2.0
287,64.0,61.0,3.0
288,63.0,61.0,2.0
289,63.0,61.0,2.0
290,54.0,54.0,0.0
291,56.0,54.0,2.0
292,55.0,54.0,1.0
293,53.0,54.0,-1.0
294,55.0,54.0,1.0
295,56.0,54.0,2.0
296,57.0,54.0,3.0
297,54.0,54.0,0.0
298,59.0,54.0,5.0
299,52.0,54.0,-2.0
300,49.0,52.0,-3.0
301,56.0,52.0,4.0
302,52.0,52.0,0.0
303,51.0,52.0,-1.0
304,56.0,52.0,4.0
305,52.0,52.0,0.0
306,49.0,52.0,-3.0
307,54.0,52.0,2.0
308,51.0,52.0,-1.0
309,55.0,52.0,3.0
310,52.0,51.0,1.0
311,49.0,51.0,-2.0
312,50.0,51.0,-1.0
313,50.0,51.0,-1.0
314,49.0,51.0,-2.0
315,51.0,51.0,0.0
316,52.0,51.0,1.0
317,48.0,51.0,-3.0
318,52.0,51.0,1.0
319,52.0,51.0,1.0
320,72.0,71.0,1.0
321,73.0,71.0,2.0
322,72.0,71.0,1.0
323,69.0,71.0,-2.0
324,66.0,71.0,-5.0
325,73.0,71.0,2.0
326,74.0,71.0,3.0
327,74.0,71.0,3.0
328,71.0,71.0,0.0
329,70.0,71.0,-1.0
330,56.0,55.0,1.0
331,55.0,55.0,0.0
332,54.0,55.0,-1.0
333,56.0,55.0,1.0
334,55.0,55.0,0.0
335,55.0,55.0,0.0
336,55.0,55.0,0.0
337,54.0,55.0,-1.0
338,56.0,55.0,1.0
339,57.0,55.0,2.0
340,60.0,63.0,-3.0
341,59.0,63.0,-4.0
342,61.0,63.0,-2.0
343,57.0,63.0,-6.0
344,58.0,63.0,-5.0
345,63.0,63.0,0.0
346,63.0,63.0,0.0
347,61.0,63.0,-2.0
348,60.0,63.0,-3.0
349,59.0,63.0,-4.0
350,65.0,60.0,5.0
351,62.0,60.0,2.0
352,61.0,60.0,1.0
353,61.0,60.0,1.0
354,61.0,60.0,1.0
355,63.0,60.0,3.0
