,0,1,2
0,73.0,72.0,1.0
1,73.0,72.0,1.0
2,72.0,72.0,0.0
3,72.0,72.0,0.0
4,73.0,72.0,1.0
5,73.0,72.0,1.0
6,73.0,72.0,1.0
7,72.0,72.0,0.0
8,72.0,72.0,0.0
9,73.0,72.0,1.0
10,71.0,73.0,-2.0
11,71.0,73.0,-2.0
12,72.0,73.0,-1.0
13,73.0,73.0,0.0
14,73.0,73.0,0.0
15,72.0,73.0,-1.0
16,73.0,73.0,0.0
17,72.0,73.0,-1.0
18,72.0,73.0,-1.0
19,72.0,73.0,-1.0
20,70.0,72.0,-2.0
21,71.0,72.0,-1.0
22,71.0,72.0,-1.0
23,72.0,72.0,0.0
24,71.0,72.0,-1.0
25,71.0,72.0,-1.0
26,71.0,72.0,-1.0
27,71.0,72.0,-1.0
28,72.0,72.0,0.0
29,71.0,72.0,-1.0
30,72.0,70.0,2.0
31,71.0,70.0,1.0
32,70.0,70.0,0.0
33,71.0,70.0,1.0
34,70.0,70.0,0.0
35,71.0,70.0,1.0
36,71.0,70.0,1.0
37,71.0,70.0,1.0
38,71.0,70.0,1.0
39,72.0,70.0,2.0
40,71.0,70.0,1.0
41,70.0,70.0,0.0
42,70.0,70.0,0.0
43,70.0,70.0,0.0
44,71.0,70.0,1.0
45,71.0,70.0,1.0
46,71.0,70.0,1.0
47,70.0,70.0,0.0
48,70.0,70.0,0.0
49,70.0,70.0,0.0
50,64.0,64.0,0.0
51,63.0,64.0,-1.0
52,64.0,64.0,0.0
53,64.0,64.0,0.0
54,65.0,64.0,1.0
55,65.0,64.0,1.0
56,65.0,64.0,1.0
57,63.0,64.0,-1.0
58,63.0,64.0,-1.0
59,63.0,64.0,-1.0
60,63.0,63.0,0.0
61,63.0,63.0,0.0
62,62.0,63.0,-1.0
63,61.0,63.0,-2.0
64,62.0,63.0,-1.0
65,62.0,63.0,-1.0
66,63.0,63.0,0.0
67,62.0,63.0,-1.0
68,64.0,63.0,1.0
69,63.0,63.0,0.0
70,63.0,64.0,-1.0
71,64.0,64.0,0.0
72,63.0,64.0,-1.0
73,63.0,64.0,-1.0
74,63.0,64.0,-1.0
75,63.0,64.0,-1.0
76,64.0,64.0,0.0
77,63.0,64.0,-1.0
78,63.0,64.0,-1.0
79,63.0,64.0,-1.0
80,62.0,62.0,0.0
81,63.0,62.0,1.0
82,63.0,62.0,1.0
83,62.0,62.0,0.0
84,63.0,62.0,1.0
85,63.0,62.0,1.0
86,63.0,62.0,1.0
87,63.0,62.0,1.0
88,62.0,62.0,0.0
89,63.0,62.0,1.0
90,63.0,62.0,1.0
91,63.0,62.0,1.0
92,63.0,62.0,1.0
93,62.0,62.0,0.0
94,62.0,62.0,0.0
95,63.0,62.0,1.0
96,63.0,62.0,1.0
97,63.0,62.0,1.0
98,65.0,62.0,3.0
99,64.0,62.0,2.0
100,45.0,43.0,2.0
101,45.0,43.0,2.0
102,46.0,43.0,3.0
103,43.0,43.0,0.0
104,43.0,43.0,0.0
105,44.0,43.0,1.0
106,45.0,43.0,2.0
107,42.0,43.0,-1.0
108,41.0,43.0,-2.0
109,46.0,43.0,3.0
110,45.0,46.0,-1.0
111,47.0,46.0,1.0
112,45.0,46.0,-1.0
113,48.0,46.0,2.0
114,47.0,46.0,1.0
