,0
0,72.51818933235968
1,68.40601271197005
2,70.39158600225005
3,70.83611176954146
4,69.39002743802453
5,65.97575498183295
6,63.59537017272672
7,64.47004986642438
8,65.24280273867546
9,64.30734420237354
10,48.933577903167816
11,39.36861141421779
12,30.87279351648141
13,30.94352277382211
14,68.92965176603671
15,63.680238229501555
16,63.84007916142004
17,63.6391072743991
18,63.69229140798537
19,61.57173065158668
20,70.99665887405567
21,71.31933948120155
22,70.37146298284182
23,64.50816990126643
24,62.548421531691865
25,59.06935444396468
26,67.09175767562529
27,62.715092273617834
28,65.64519586614672
29,58.854666201356466
30,53.366480816554706
31,51.271416871750674
32,65.77096792919905
33,53.88598096394183
34,60.86368590938801
35,63.71201196498278
36,49.20455238512148
37,67.12339706697747
38,65.63795471545617
39,63.46837060439223
40,55.133719246462775
41,9.836488979207047
