,0,1,2
0,53.03055,53.0,0.030548096
1,63.1001,63.0,0.10010147
2,10.075738,10.0,0.07573795
3,45.900234,46.0,-0.09976578
4,62.418446,62.0,0.4184456
5,61.899734,62.0,-0.1002655
6,59.89988,60.0,-0.100120544
7,52.899796,53.0,-0.10020447
8,64.26215,64.0,0.26215363
9,30.899878,31.0,-0.10012245
10,72.900246,73.0,-0.09975433
11,60.892223,62.0,-1.1077766
12,63.099964,63.0,0.09996414
13,51.89975,52.0,-0.100250244
14,72.10004,72.0,0.10003662
15,71.90007,72.0,-0.09992981
16,62.899765,63.0,-0.100234985
17,53.100178,53.0,0.100177765
18,59.372013,62.0,-2.627987
19,67.10024,67.0,0.100242615
20,72.1001,72.0,0.100097656
21,50.899925,51.0,-0.10007477
22,62.418446,62.0,0.4184456
23,71.900345,72.0,-0.09965515
24,61.8999,62.0,-0.10010147
25,42.899956,43.0,-0.10004425
26,61.100056,61.0,0.100055695
27,45.900005,46.0,-0.09999466
28,72.09948,72.0,0.099479675
29,54.100376,54.0,0.10037613
30,71.90008,72.0,-0.09992218
31,63.09993,63.0,0.09992981
32,54.900234,55.0,-0.09976578
33,58.90005,59.0,-0.09994888
34,62.09954,62.0,0.09954071
35,59.099815,59.0,0.09981537
36,71.09628,71.0,0.09628296
37,34.100246,34.0,0.10024643
38,53.099926,53.0,0.099925995
39,64.06453,64.0,0.06452942
40,30.899916,31.0,-0.100084305
41,62.099903,62.0,0.09990311
42,72.10027,72.0,0.10027313
43,71.90012,72.0,-0.099876404
44,46.100418,46.0,0.10041809
45,60.09999,60.0,0.099990845
46,54.09985,54.0,0.0998497
47,71.09976,71.0,0.09976196
48,53.9005,54.0,-0.09949875
49,62.100285,62.0,0.10028458
50,71.899734,72.0,-0.1002655
51,72.899994,73.0,-0.1000061
52,62.670586,63.0,-0.32941437
53,42.210815,43.0,-0.7891846
54,58.099354,58.0,0.09935379
55,42.210815,43.0,-0.7891846
56,58.0996,58.0,0.099601746
57,72.09956,72.0,0.0995636
58,64.26215,64.0,0.26215363
59,58.90011,59.0,-0.09989166
60,59.372013,62.0,-2.627987
61,63.900173,64.0,-0.09982681
62,61.899612,62.0,-0.10038757
63,61.90039,62.0,-0.099609375
64,10.1000185,10.0,0.1000185
65,62.100014,62.0,0.10001373
66,60.100025,60.0,0.10002518
67,59.89984,60.0,-0.10015869
68,70.98865,71.0,-0.011352539
69,65.89962,66.0,-0.100379944
70,62.89989,63.0,-0.1001091
71,51.09987,51.0,0.099868774
72,51.89965,52.0,-0.100349426
73,70.10002,70.0,0.10002136
