,0,1,2
0,51.899933,52.0,-0.10006714
1,51.90035,52.0,-0.09965134
2,58.099422,58.0,0.099422455
3,45.900078,46.0,-0.09992218
4,67.099655,67.0,0.09965515
5,70.09992,70.0,0.09992218
6,72.8998,73.0,-0.10019684
7,60.527905,62.0,-1.4720955
8,58.900383,59.0,-0.099617004
9,61.8997,62.0,-0.100299835
10,54.099495,54.0,0.099494934
11,46.09994,46.0,0.09994125
12,71.96676,72.0,-0.033241272
13,53.89964,54.0,-0.10036087
14,51.899887,52.0,-0.100112915
15,45.900085,46.0,-0.09991455
16,62.89989,63.0,-0.1001091
17,72.00922,72.0,0.009216309
18,69.79444,70.0,-0.20555878
19,45.900066,46.0,-0.099933624
20,33.9,34.0,-0.099998474
21,58.900047,59.0,-0.0999527
22,62.100395,62.0,0.1003952
23,61.899837,62.0,-0.100162506
24,61.899826,62.0,-0.10017395
25,72.70952,72.0,0.70951843
26,31.10037,31.0,0.10037041
27,70.900024,71.0,-0.099975586
28,70.10005,70.0,0.10005188
29,43.100315,43.0,0.100315094
30,65.899666,66.0,-0.10033417
31,59.100327,59.0,0.10032654
32,60.527905,62.0,-1.4720955
33,58.89982,59.0,-0.10018158
34,64.009224,64.0,0.009223938
35,72.899956,73.0,-0.10004425
36,72.8996,73.0,-0.10040283
37,45.89975,46.0,-0.100250244
38,70.90017,71.0,-0.09983063
39,62.0998,62.0,0.09980011
40,60.900326,61.0,-0.099674225
41,62.100086,62.0,0.10008621
42,51.9003,52.0,-0.09970093
43,43.100258,43.0,0.10025787
44,58.100037,58.0,0.10003662
45,63.900047,64.0,-0.0999527
46,72.89985,73.0,-0.10015106
47,59.10013,59.0,0.100128174
48,51.099983,51.0,0.099983215
49,59.732265,60.0,-0.26773453
50,57.899708,58.0,-0.100292206
51,65.08243,62.0,3.082428
52,64.88791,62.0,2.887909
53,72.08005,72.0,0.08004761
54,69.79444,70.0,-0.20555878
55,71.9003,72.0,-0.09970093
56,71.90015,72.0,-0.099853516
57,62.099922,62.0,0.09992218
58,71.89939,72.0,-0.100608826
59,72.0008,72.0,0.0008010864
60,64.88791,62.0,2.887909
61,45.900017,46.0,-0.099983215
62,43.10002,43.0,0.10002136
63,45.89991,46.0,-0.10009003
64,46.099792,46.0,0.09979248
65,10.100441,10.0,0.10044098
66,69.90992,70.0,-0.09008026
67,73.89971,74.0,-0.10028839
68,61.900223,62.0,-0.09977722
69,69.89981,70.0,-0.10018921
70,67.09983,67.0,0.09983063
71,63.900234,64.0,-0.09976578
72,72.70952,72.0,0.70951843
73,61.285862,62.0,-0.71413803
